學號,成績二一三二紀錄
410181051,
410181052,
410182001,
410182002,
410182003,
410182004,
410182005,
410182006,
410182007,
410182008,
410182009,
410182010,
410182011,
410182012,
410182013,
410182014,
410182015,
410182016,
410182017,
410182018,
410182019,
410182020,
410182021,
410182022,
410182023,
410182024,
410182025,
410182026,
410182027,
410182028,
410182029,
410182030,
410182031,
410182032,
410182033,
410182034,
410182035,
410182036,
410182037,
410182038,
410182039,
410182040,
410182041,
410182042,
410182043,
410182044,
410182045,
410182046,
410182047,
410182048,
410182049,
410182050,
410182051,
410182052,
410182053,
410182054,
410183016,
410183027,
410183040,
410184005,101/2 達二一預警標準
410185006,
410185054,
49874297,
49874499,
49877196,
49877197,
49879193,
49881088,
49881089,
49882097,
49974298,
49974299,
49974499,
49977199,
49979188,
49979189,
49979190,
49979191,
49979192,
49979194,
49979195,
49979196,
49979197,
49979198,
49981074,
49981075,
49981076,
49981077,
49982054,
49982055,
49982056,
49982057,
49982058,
49982059,
49982060,
49982061,
49982098,
49983099,
